game,date,home_team,home_team_score,away_team,away_team_score,year,series_id,game_winner_column,game_winning_team,best_of_five_winner,best_of_seven_winner,best_of_seven_loser,series_too_long
Game 5,"Wed, May 1",Atlanta Hawks,83,Indiana Pacers,106,2013,AtlantaHawks_IndianaPacers_2013,away_team,Indiana Pacers,Indiana Pacers,Indiana Pacers,Atlanta Hawks,True
Game 6,"Fri, May 3",Indiana Pacers,81,Atlanta Hawks,73,2013,AtlantaHawks_IndianaPacers_2013,home_team,Indiana Pacers,Indiana Pacers,Indiana Pacers,Atlanta Hawks,True
Game 1,"Sun, April 21",Milwaukee Bucks,87,Miami Heat,110,2013,MilwaukeeBucks_MiamiHeat_2013,away_team,Miami Heat,Miami Heat,Miami Heat,Miami Heat,True
Game 2,"Tue, April 23",Milwaukee Bucks,86,Miami Heat,98,2013,MilwaukeeBucks_MiamiHeat_2013,away_team,Miami Heat,Miami Heat,Miami Heat,Miami Heat,True
Game 3,"Thu, April 25",Miami Heat,104,Milwaukee Bucks,91,2013,MilwaukeeBucks_MiamiHeat_2013,home_team,Miami Heat,Miami Heat,Miami Heat,Miami Heat,True
Game 4,"Sun, April 28",Miami Heat,88,Milwaukee Bucks,77,2013,MilwaukeeBucks_MiamiHeat_2013,home_team,Miami Heat,Miami Heat,Miami Heat,Miami Heat,True
Game 1,"Sat, April 20",Boston Celtics,78,New York Knicks,85,2013,BostonCeltics_NewYorkKnicks_2013,away_team,New York Knicks,New York Knicks,New York Knicks,Boston Celtics,True
Game 2,"Tue, April 23",Boston Celtics,71,New York Knicks,87,2013,BostonCeltics_NewYorkKnicks_2013,away_team,New York Knicks,New York Knicks,New York Knicks,Boston Celtics,True
Game 3,"Fri, April 26",New York Knicks,90,Boston Celtics,76,2013,BostonCeltics_NewYorkKnicks_2013,home_team,New York Knicks,New York Knicks,New York Knicks,Boston Celtics,True
Game 4,"Sun, April 28",New York Knicks,90,Boston Celtics,97,2013,BostonCeltics_NewYorkKnicks_2013,away_team,Boston Celtics,New York Knicks,New York Knicks,Boston Celtics,True
Game 5,"Wed, May 1",Boston Celtics,92,New York Knicks,86,2013,BostonCeltics_NewYorkKnicks_2013,home_team,Boston Celtics,New York Knicks,New York Knicks,Boston Celtics,True
Game 6,"Fri, May 3",New York Knicks,88,Boston Celtics,80,2013,BostonCeltics_NewYorkKnicks_2013,home_team,New York Knicks,New York Knicks,New York Knicks,Boston Celtics,True
Game 1,"Sat, April 20",Golden State Warriors,95,Denver Nuggets,97,2013,GoldenStateWarriors_DenverNuggets_2013,away_team,Denver Nuggets,Golden State Warriors,Golden State Warriors,Denver Nuggets,True
Game 2,"Tue, April 23",Golden State Warriors,131,Denver Nuggets,117,2013,GoldenStateWarriors_DenverNuggets_2013,home_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Denver Nuggets,True
Game 3,"Fri, April 26",Denver Nuggets,108,Golden State Warriors,110,2013,GoldenStateWarriors_DenverNuggets_2013,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Denver Nuggets,True
Game 4,"Sun, April 28",Denver Nuggets,101,Golden State Warriors,115,2013,GoldenStateWarriors_DenverNuggets_2013,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Denver Nuggets,True
Game 5,"Tue, April 30",Golden State Warriors,100,Denver Nuggets,107,2013,GoldenStateWarriors_DenverNuggets_2013,away_team,Denver Nuggets,Golden State Warriors,Golden State Warriors,Denver Nuggets,True
Game 6,"Thu, May 2",Denver Nuggets,88,Golden State Warriors,92,2013,GoldenStateWarriors_DenverNuggets_2013,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Denver Nuggets,True
Game 1,"Sat, April 20",Memphis Grizzlies,91,Los Angeles Clippers,112,2013,MemphisGrizzlies_LosAngelesClippers_2013,away_team,Los Angeles Clippers,Memphis Grizzlies,Memphis Grizzlies,Los Angeles Clippers,True
Game 2,"Mon, April 22",Memphis Grizzlies,91,Los Angeles Clippers,93,2013,MemphisGrizzlies_LosAngelesClippers_2013,away_team,Los Angeles Clippers,Memphis Grizzlies,Memphis Grizzlies,Los Angeles Clippers,True
Game 3,"Thu, April 25",Los Angeles Clippers,82,Memphis Grizzlies,94,2013,MemphisGrizzlies_LosAngelesClippers_2013,away_team,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,Los Angeles Clippers,True
Game 4,"Sat, April 27",Los Angeles Clippers,83,Memphis Grizzlies,104,2013,MemphisGrizzlies_LosAngelesClippers_2013,away_team,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,Los Angeles Clippers,True
Game 5,"Tue, April 30",Memphis Grizzlies,103,Los Angeles Clippers,93,2013,MemphisGrizzlies_LosAngelesClippers_2013,home_team,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,Los Angeles Clippers,True
Game 6,"Fri, May 3",Los Angeles Clippers,105,Memphis Grizzlies,118,2013,MemphisGrizzlies_LosAngelesClippers_2013,away_team,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,Los Angeles Clippers,True
Game 1,"Sun, April 21",Houston Rockets,91,Oklahoma City Thunder,120,2013,HoustonRockets_OklahomaCityThunder_2013,away_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Houston Rockets,True
Game 2,"Wed, April 24",Houston Rockets,102,Oklahoma City Thunder,105,2013,HoustonRockets_OklahomaCityThunder_2013,away_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Houston Rockets,True
Game 3,"Sat, April 27",Oklahoma City Thunder,104,Houston Rockets,101,2013,HoustonRockets_OklahomaCityThunder_2013,home_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Houston Rockets,True
Game 4,"Mon, April 29",Oklahoma City Thunder,103,Houston Rockets,105,2013,HoustonRockets_OklahomaCityThunder_2013,away_team,Houston Rockets,Oklahoma City Thunder,Oklahoma City Thunder,Houston Rockets,True
Game 5,"Wed, May 1",Houston Rockets,107,Oklahoma City Thunder,100,2013,HoustonRockets_OklahomaCityThunder_2013,home_team,Houston Rockets,Oklahoma City Thunder,Oklahoma City Thunder,Houston Rockets,True
Game 6,"Fri, May 3",Oklahoma City Thunder,103,Houston Rockets,94,2013,HoustonRockets_OklahomaCityThunder_2013,home_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Houston Rockets,True
Game 1,"Sun, April 21",Los Angeles Lakers,79,San Antonio Spurs,91,2013,LosAngelesLakers_SanAntonioSpurs_2013,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True
Game 2,"Wed, April 24",Los Angeles Lakers,91,San Antonio Spurs,102,2013,LosAngelesLakers_SanAntonioSpurs_2013,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True
Game 3,"Fri, April 26",San Antonio Spurs,120,Los Angeles Lakers,89,2013,LosAngelesLakers_SanAntonioSpurs_2013,home_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True
Game 4,"Sun, April 28",San Antonio Spurs,103,Los Angeles Lakers,82,2013,LosAngelesLakers_SanAntonioSpurs_2013,home_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True
Game 1,"Sat, April 19",Brooklyn Nets,94,Toronto Raptors,87,2014,BrooklynNets_TorontoRaptors_2014,home_team,Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Toronto Raptors,False
Game 2,"Tue, April 22",Brooklyn Nets,95,Toronto Raptors,100,2014,BrooklynNets_TorontoRaptors_2014,away_team,Toronto Raptors,Toronto Raptors,Brooklyn Nets,Toronto Raptors,False
Game 3,"Fri, April 25",Toronto Raptors,98,Brooklyn Nets,102,2014,BrooklynNets_TorontoRaptors_2014,away_team,Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Toronto Raptors,False
Game 4,"Sun, April 27",Toronto Raptors,87,Brooklyn Nets,79,2014,BrooklynNets_TorontoRaptors_2014,home_team,Toronto Raptors,Toronto Raptors,Brooklyn Nets,Toronto Raptors,False
Game 5,"Wed, April 30",Brooklyn Nets,113,Toronto Raptors,115,2014,BrooklynNets_TorontoRaptors_2014,away_team,Toronto Raptors,Toronto Raptors,Brooklyn Nets,Toronto Raptors,False
Game 6,"Fri, May 2",Toronto Raptors,83,Brooklyn Nets,97,2014,BrooklynNets_TorontoRaptors_2014,away_team,Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Toronto Raptors,False
Game 7,"Sun, May 4",Brooklyn Nets,104,Toronto Raptors,103,2014,BrooklynNets_TorontoRaptors_2014,home_team,Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Toronto Raptors,False
Game 1,"Sat, April 19",Atlanta Hawks,101,Indiana Pacers,93,2014,AtlantaHawks_IndianaPacers_2014,home_team,Atlanta Hawks,Atlanta Hawks,Indiana Pacers,Atlanta Hawks,False
Game 2,"Tue, April 22",Atlanta Hawks,85,Indiana Pacers,101,2014,AtlantaHawks_IndianaPacers_2014,away_team,Indiana Pacers,Atlanta Hawks,Indiana Pacers,Atlanta Hawks,False
Game 3,"Thu, April 24",Indiana Pacers,85,Atlanta Hawks,98,2014,AtlantaHawks_IndianaPacers_2014,away_team,Atlanta Hawks,Atlanta Hawks,Indiana Pacers,Atlanta Hawks,False
Game 4,"Sat, April 26",Indiana Pacers,91,Atlanta Hawks,88,2014,AtlantaHawks_IndianaPacers_2014,home_team,Indiana Pacers,Atlanta Hawks,Indiana Pacers,Atlanta Hawks,False
Game 5,"Mon, April 28",Atlanta Hawks,107,Indiana Pacers,97,2014,AtlantaHawks_IndianaPacers_2014,home_team,Atlanta Hawks,Atlanta Hawks,Indiana Pacers,Atlanta Hawks,False
Game 6,"Thu, May 1",Indiana Pacers,95,Atlanta Hawks,88,2014,AtlantaHawks_IndianaPacers_2014,home_team,Indiana Pacers,Atlanta Hawks,Indiana Pacers,Atlanta Hawks,False
Game 7,"Sat, May 3",Atlanta Hawks,80,Indiana Pacers,92,2014,AtlantaHawks_IndianaPacers_2014,away_team,Indiana Pacers,Atlanta Hawks,Indiana Pacers,Atlanta Hawks,False
Game 1,"Sun, April 20",Charlotte Bobcats,88,Miami Heat,99,2014,CharlotteBobcats_MiamiHeat_2014,away_team,Miami Heat,Miami Heat,Miami Heat,Miami Heat,True
Game 2,"Wed, April 23",Charlotte Bobcats,97,Miami Heat,101,2014,CharlotteBobcats_MiamiHeat_2014,away_team,Miami Heat,Miami Heat,Miami Heat,Miami Heat,True
Game 3,"Sat, April 26",Miami Heat,98,Charlotte Bobcats,85,2014,CharlotteBobcats_MiamiHeat_2014,home_team,Miami Heat,Miami Heat,Miami Heat,Miami Heat,True
Game 4,"Mon, April 28",Miami Heat,109,Charlotte Bobcats,98,2014,CharlotteBobcats_MiamiHeat_2014,home_team,Miami Heat,Miami Heat,Miami Heat,Miami Heat,True
Game 1,"Sun, April 20",Washington Wizards,102,Chicago Bulls,93,2014,WashingtonWizards_ChicagoBulls_2014,home_team,Washington Wizards,Washington Wizards,Washington Wizards,Chicago Bulls,True
Game 2,"Tue, April 22",Washington Wizards,101,Chicago Bulls,99,2014,WashingtonWizards_ChicagoBulls_2014,home_team,Washington Wizards,Washington Wizards,Washington Wizards,Chicago Bulls,True
Game 3,"Fri, April 25",Chicago Bulls,100,Washington Wizards,97,2014,WashingtonWizards_ChicagoBulls_2014,home_team,Chicago Bulls,Washington Wizards,Washington Wizards,Chicago Bulls,True
Game 4,"Sun, April 27",Chicago Bulls,89,Washington Wizards,98,2014,WashingtonWizards_ChicagoBulls_2014,away_team,Washington Wizards,Washington Wizards,Washington Wizards,Chicago Bulls,True
Game 5,"Tue, April 29",Washington Wizards,75,Chicago Bulls,69,2014,WashingtonWizards_ChicagoBulls_2014,home_team,Washington Wizards,Washington Wizards,Washington Wizards,Chicago Bulls,True
Game 1,"Sat, April 19",Golden State Warriors,109,Los Angeles Clippers,105,2014,GoldenStateWarriors_LosAngelesClippers_2014,home_team,Golden State Warriors,Los Angeles Clippers,Los Angeles Clippers,Golden State Warriors,True
Game 2,"Mon, April 21",Golden State Warriors,98,Los Angeles Clippers,138,2014,GoldenStateWarriors_LosAngelesClippers_2014,away_team,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,Golden State Warriors,True
Game 3,"Thu, April 24",Los Angeles Clippers,98,Golden State Warriors,96,2014,GoldenStateWarriors_LosAngelesClippers_2014,home_team,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,Golden State Warriors,True
Game 4,"Sun, April 27",Los Angeles Clippers,97,Golden State Warriors,118,2014,GoldenStateWarriors_LosAngelesClippers_2014,away_team,Golden State Warriors,Los Angeles Clippers,Los Angeles Clippers,Golden State Warriors,True
Game 5,"Tue, April 29",Golden State Warriors,103,Los Angeles Clippers,113,2014,GoldenStateWarriors_LosAngelesClippers_2014,away_team,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,Golden State Warriors,True
Game 6,"Thu, May 1",Los Angeles Clippers,99,Golden State Warriors,100,2014,GoldenStateWarriors_LosAngelesClippers_2014,away_team,Golden State Warriors,Los Angeles Clippers,Los Angeles Clippers,Golden State Warriors,True
Game 7,"Sat, May 3",Golden State Warriors,121,Los Angeles Clippers,126,2014,GoldenStateWarriors_LosAngelesClippers_2014,away_team,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,Golden State Warriors,True
Game 1,"Sat, April 19",Memphis Grizzlies,86,Oklahoma City Thunder,100,2014,MemphisGrizzlies_OklahomaCityThunder_2014,away_team,Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies,False
Game 2,"Mon, April 21",Memphis Grizzlies,111,Oklahoma City Thunder,105,2014,MemphisGrizzlies_OklahomaCityThunder_2014,home_team,Memphis Grizzlies,Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies,False
Game 3,"Thu, April 24",Oklahoma City Thunder,95,Memphis Grizzlies,98,2014,MemphisGrizzlies_OklahomaCityThunder_2014,away_team,Memphis Grizzlies,Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies,False
Game 4,"Sat, April 26",Oklahoma City Thunder,92,Memphis Grizzlies,89,2014,MemphisGrizzlies_OklahomaCityThunder_2014,home_team,Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies,False
Game 5,"Tue, April 29",Memphis Grizzlies,100,Oklahoma City Thunder,99,2014,MemphisGrizzlies_OklahomaCityThunder_2014,home_team,Memphis Grizzlies,Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies,False
Game 6,"Thu, May 1",Oklahoma City Thunder,104,Memphis Grizzlies,84,2014,MemphisGrizzlies_OklahomaCityThunder_2014,home_team,Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies,False
Game 7,"Sat, May 3",Memphis Grizzlies,109,Oklahoma City Thunder,120,2014,MemphisGrizzlies_OklahomaCityThunder_2014,away_team,Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies,False
Game 1,"Sun, April 20",Portland Trail Blazers,122,Houston Rockets,120,2014,PortlandTrailBlazers_HoustonRockets_2014,home_team,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,Houston Rockets,True
Game 2,"Wed, April 23",Portland Trail Blazers,112,Houston Rockets,105,2014,PortlandTrailBlazers_HoustonRockets_2014,home_team,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,Houston Rockets,True
Game 3,"Fri, April 25",Houston Rockets,121,Portland Trail Blazers,116,2014,PortlandTrailBlazers_HoustonRockets_2014,home_team,Houston Rockets,Portland Trail Blazers,Portland Trail Blazers,Houston Rockets,True
Game 4,"Sun, April 27",Houston Rockets,120,Portland Trail Blazers,123,2014,PortlandTrailBlazers_HoustonRockets_2014,away_team,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,Houston Rockets,True
Game 5,"Wed, April 30",Portland Trail Blazers,98,Houston Rockets,108,2014,PortlandTrailBlazers_HoustonRockets_2014,away_team,Houston Rockets,Portland Trail Blazers,Portland Trail Blazers,Houston Rockets,True
Game 6,"Fri, May 2",Houston Rockets,98,Portland Trail Blazers,99,2014,PortlandTrailBlazers_HoustonRockets_2014,away_team,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,Houston Rockets,True
Game 1,"Sun, April 20",Dallas Mavericks,85,San Antonio Spurs,90,2014,DallasMavericks_SanAntonioSpurs_2014,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 2,"Wed, April 23",Dallas Mavericks,113,San Antonio Spurs,92,2014,DallasMavericks_SanAntonioSpurs_2014,home_team,Dallas Mavericks,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 3,"Sat, April 26",San Antonio Spurs,108,Dallas Mavericks,109,2014,DallasMavericks_SanAntonioSpurs_2014,away_team,Dallas Mavericks,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 4,"Mon, April 28",San Antonio Spurs,93,Dallas Mavericks,89,2014,DallasMavericks_SanAntonioSpurs_2014,home_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 5,"Wed, April 30",Dallas Mavericks,103,San Antonio Spurs,109,2014,DallasMavericks_SanAntonioSpurs_2014,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 6,"Fri, May 2",San Antonio Spurs,111,Dallas Mavericks,113,2014,DallasMavericks_SanAntonioSpurs_2014,away_team,Dallas Mavericks,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 7,"Sun, May 4",Dallas Mavericks,96,San Antonio Spurs,119,2014,DallasMavericks_SanAntonioSpurs_2014,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 1,"Sun, April 19",Brooklyn Nets,92,Atlanta Hawks,99,2015,BrooklynNets_AtlantaHawks_2015,away_team,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Brooklyn Nets,True
Game 2,"Wed, April 22",Brooklyn Nets,91,Atlanta Hawks,96,2015,BrooklynNets_AtlantaHawks_2015,away_team,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Brooklyn Nets,True
Game 3,"Sat, April 25",Atlanta Hawks,83,Brooklyn Nets,91,2015,BrooklynNets_AtlantaHawks_2015,away_team,Brooklyn Nets,Atlanta Hawks,Atlanta Hawks,Brooklyn Nets,True
Game 4,"Mon, April 27",Atlanta Hawks,115,Brooklyn Nets,120,2015,BrooklynNets_AtlantaHawks_2015,away_team,Brooklyn Nets,Atlanta Hawks,Atlanta Hawks,Brooklyn Nets,True
Game 5,"Wed, April 29",Brooklyn Nets,97,Atlanta Hawks,107,2015,BrooklynNets_AtlantaHawks_2015,away_team,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Brooklyn Nets,True
Game 6,"Fri, May 1",Atlanta Hawks,111,Brooklyn Nets,87,2015,BrooklynNets_AtlantaHawks_2015,home_team,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Brooklyn Nets,True
Game 1,"Sat, April 18",Milwaukee Bucks,91,Chicago Bulls,103,2015,MilwaukeeBucks_ChicagoBulls_2015,away_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Milwaukee Bucks,True
Game 2,"Mon, April 20",Milwaukee Bucks,82,Chicago Bulls,91,2015,MilwaukeeBucks_ChicagoBulls_2015,away_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Milwaukee Bucks,True
Game 3,"Thu, April 23",Chicago Bulls,113,Milwaukee Bucks,106,2015,MilwaukeeBucks_ChicagoBulls_2015,home_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Milwaukee Bucks,True
Game 4,"Sat, April 25",Chicago Bulls,90,Milwaukee Bucks,92,2015,MilwaukeeBucks_ChicagoBulls_2015,away_team,Milwaukee Bucks,Chicago Bulls,Chicago Bulls,Milwaukee Bucks,True
Game 5,"Mon, April 27",Milwaukee Bucks,94,Chicago Bulls,88,2015,MilwaukeeBucks_ChicagoBulls_2015,home_team,Milwaukee Bucks,Chicago Bulls,Chicago Bulls,Milwaukee Bucks,True
Game 6,"Thu, April 30",Chicago Bulls,120,Milwaukee Bucks,66,2015,MilwaukeeBucks_ChicagoBulls_2015,home_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Milwaukee Bucks,True
Game 1,"Sun, April 19",Boston Celtics,100,Cleveland Cavaliers,113,2015,BostonCeltics_ClevelandCavaliers_2015,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 2,"Tue, April 21",Boston Celtics,91,Cleveland Cavaliers,99,2015,BostonCeltics_ClevelandCavaliers_2015,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 3,"Thu, April 23",Cleveland Cavaliers,103,Boston Celtics,95,2015,BostonCeltics_ClevelandCavaliers_2015,home_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 4,"Sun, April 26",Cleveland Cavaliers,101,Boston Celtics,93,2015,BostonCeltics_ClevelandCavaliers_2015,home_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 1,"Sat, April 18",Washington Wizards,93,Toronto Raptors,86,2015,WashingtonWizards_TorontoRaptors_2015,home_team,Washington Wizards,Washington Wizards,Washington Wizards,Washington Wizards,True
Game 2,"Tue, April 21",Washington Wizards,117,Toronto Raptors,106,2015,WashingtonWizards_TorontoRaptors_2015,home_team,Washington Wizards,Washington Wizards,Washington Wizards,Washington Wizards,True
Game 3,"Fri, April 24",Toronto Raptors,99,Washington Wizards,106,2015,WashingtonWizards_TorontoRaptors_2015,away_team,Washington Wizards,Washington Wizards,Washington Wizards,Washington Wizards,True
Game 4,"Sun, April 26",Toronto Raptors,94,Washington Wizards,125,2015,WashingtonWizards_TorontoRaptors_2015,away_team,Washington Wizards,Washington Wizards,Washington Wizards,Washington Wizards,True
Game 1,"Sat, April 18",New Orleans Pelicans,99,Golden State Warriors,106,2015,NewOrleansPelicans_GoldenStateWarriors_2015,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Golden State Warriors,True
Game 2,"Mon, April 20",New Orleans Pelicans,87,Golden State Warriors,97,2015,NewOrleansPelicans_GoldenStateWarriors_2015,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Golden State Warriors,True
Game 3,"Thu, April 23",Golden State Warriors,123,New Orleans Pelicans,119,2015,NewOrleansPelicans_GoldenStateWarriors_2015,home_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Golden State Warriors,True
Game 4,"Sat, April 25",Golden State Warriors,109,New Orleans Pelicans,98,2015,NewOrleansPelicans_GoldenStateWarriors_2015,home_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Golden State Warriors,True
Game 1,"Sat, April 18",Dallas Mavericks,108,Houston Rockets,118,2015,DallasMavericks_HoustonRockets_2015,away_team,Houston Rockets,Houston Rockets,Houston Rockets,Dallas Mavericks,True
Game 2,"Tue, April 21",Dallas Mavericks,99,Houston Rockets,111,2015,DallasMavericks_HoustonRockets_2015,away_team,Houston Rockets,Houston Rockets,Houston Rockets,Dallas Mavericks,True
Game 3,"Fri, April 24",Houston Rockets,130,Dallas Mavericks,128,2015,DallasMavericks_HoustonRockets_2015,home_team,Houston Rockets,Houston Rockets,Houston Rockets,Dallas Mavericks,True
Game 4,"Sun, April 26",Houston Rockets,109,Dallas Mavericks,121,2015,DallasMavericks_HoustonRockets_2015,away_team,Dallas Mavericks,Houston Rockets,Houston Rockets,Dallas Mavericks,True
Game 5,"Tue, April 28",Dallas Mavericks,94,Houston Rockets,103,2015,DallasMavericks_HoustonRockets_2015,away_team,Houston Rockets,Houston Rockets,Houston Rockets,Dallas Mavericks,True
Game 1,"Sun, April 19",San Antonio Spurs,92,Los Angeles Clippers,107,2015,SanAntonioSpurs_LosAngelesClippers_2015,away_team,Los Angeles Clippers,San Antonio Spurs,Los Angeles Clippers,San Antonio Spurs,False
Game 2,"Wed, April 22",San Antonio Spurs,111,Los Angeles Clippers,107,2015,SanAntonioSpurs_LosAngelesClippers_2015,home_team,San Antonio Spurs,San Antonio Spurs,Los Angeles Clippers,San Antonio Spurs,False
Game 3,"Fri, April 24",Los Angeles Clippers,73,San Antonio Spurs,100,2015,SanAntonioSpurs_LosAngelesClippers_2015,away_team,San Antonio Spurs,San Antonio Spurs,Los Angeles Clippers,San Antonio Spurs,False
Game 4,"Sun, April 26",Los Angeles Clippers,114,San Antonio Spurs,105,2015,SanAntonioSpurs_LosAngelesClippers_2015,home_team,Los Angeles Clippers,San Antonio Spurs,Los Angeles Clippers,San Antonio Spurs,False
Game 5,"Tue, April 28",San Antonio Spurs,111,Los Angeles Clippers,107,2015,SanAntonioSpurs_LosAngelesClippers_2015,home_team,San Antonio Spurs,San Antonio Spurs,Los Angeles Clippers,San Antonio Spurs,False
Game 6,"Thu, April 30",Los Angeles Clippers,102,San Antonio Spurs,96,2015,SanAntonioSpurs_LosAngelesClippers_2015,home_team,Los Angeles Clippers,San Antonio Spurs,Los Angeles Clippers,San Antonio Spurs,False
Game 7,"Sat, May 2",San Antonio Spurs,109,Los Angeles Clippers,111,2015,SanAntonioSpurs_LosAngelesClippers_2015,away_team,Los Angeles Clippers,San Antonio Spurs,Los Angeles Clippers,San Antonio Spurs,False
Game 1,"Sun, April 19",Portland Trail Blazers,86,Memphis Grizzlies,100,2015,PortlandTrailBlazers_MemphisGrizzlies_2015,away_team,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,Portland Trail Blazers,True
Game 2,"Wed, April 22",Portland Trail Blazers,82,Memphis Grizzlies,97,2015,PortlandTrailBlazers_MemphisGrizzlies_2015,away_team,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,Portland Trail Blazers,True
Game 3,"Sat, April 25",Memphis Grizzlies,115,Portland Trail Blazers,109,2015,PortlandTrailBlazers_MemphisGrizzlies_2015,home_team,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,Portland Trail Blazers,True
Game 4,"Mon, April 27",Memphis Grizzlies,92,Portland Trail Blazers,99,2015,PortlandTrailBlazers_MemphisGrizzlies_2015,away_team,Portland Trail Blazers,Memphis Grizzlies,Memphis Grizzlies,Portland Trail Blazers,True
Game 5,"Wed, April 29",Portland Trail Blazers,93,Memphis Grizzlies,99,2015,PortlandTrailBlazers_MemphisGrizzlies_2015,away_team,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,Portland Trail Blazers,True
Game 1,"Sat, April 16",Boston Celtics,101,Atlanta Hawks,102,2016,BostonCeltics_AtlantaHawks_2016,away_team,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Boston Celtics,True
Game 2,"Tue, April 19",Boston Celtics,72,Atlanta Hawks,89,2016,BostonCeltics_AtlantaHawks_2016,away_team,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Boston Celtics,True
Game 3,"Fri, April 22",Atlanta Hawks,103,Boston Celtics,111,2016,BostonCeltics_AtlantaHawks_2016,away_team,Boston Celtics,Atlanta Hawks,Atlanta Hawks,Boston Celtics,True
Game 4,"Sun, April 24",Atlanta Hawks,95,Boston Celtics,104,2016,BostonCeltics_AtlantaHawks_2016,away_team,Boston Celtics,Atlanta Hawks,Atlanta Hawks,Boston Celtics,True
